,Dia,Estado,Municipio,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
542451,2023-10-19,MARANHÃO,SANTA LUZIA,3.0,0.0,1.0,-3.9429,-45.8442,217.5
457929,2023-10-12,PARÁ,PORTEL,4.0,0.0,1.0,-3.2717,-50.4102,73.7
2023127,2023-11-14,PARÁ,PORTO DE MOZ,21.0,0.0,1.0,-1.663,-52.3927,62.1
1447512,2023-08-20,PARÁ,OURILÂNDIA DO NORTE,10.0,0.0,1.0,-7.70824,-51.72367,2.9
1047701,2023-09-19,PARÁ,CUMARU DO NORTE,2.0,0.0,1.0,-8.29928,-50.76801,2.9
1951596,2023-11-10,AMAPÁ,AMAPÁ,31.0,1.17,1.0,1.98231,-50.59228,1.4
418306,2023-10-10,AMAPÁ,SANTANA,18.0,0.0,1.0,0.1103,-51.43969,5.0
1251427,2023-08-03,MATO GROSSO,MARCELÂNDIA,21.0,0.0,1.0,-10.797,-54.0556,169.6
1874796,2023-11-05,AMAPÁ,MACAPÁ,5.0,0.0,1.0,0.16034,-51.098,3.5
1979596,2023-11-12,AMAPÁ,TARTARUGALZINHO,24.0,0.0,1.0,1.2927,-50.511501,0
2257906,2023-12-18,RORAIMA,PACARAIMA,19.0,0.0,1.0,4.0593,-60.9364,70.6
1878527,2023-11-05,MARANHÃO,PENALVA,21.0,0.0,1.0,-3.1647,-45.3397,117.0
1234698,2023-09-30,MARANHÃO,OLHO D'ÁGUA DAS CUNHÃS,24.0,0.0,1.0,-4.0586,-45.1647,110.9
1225988,2023-09-30,PARÁ,GOIANÉSIA DO PARÁ,10.0,0.0,1.0,-3.944,-48.989,91.9
489739,2023-10-14,AMAPÁ,OIAPOQUE,57.0,0.0,1.0,3.04499,-51.45447,8.6
1360160,2023-08-16,PARÁ,ALTAMIRA,16.0,0.0,1.0,-8.62115,-55.0867,10.9
1127135,2023-09-25,MATO GROSSO,FELIZ NATAL,23.0,0.0,1.0,-12.10524,-54.24353,2.1
1474154,2023-08-20,PARÁ,ALTAMIRA,16.0,0.0,1.0,-8.6346,-54.9929,32.8
1181712,2023-09-27,MARANHÃO,VITORINO FREIRE,26.0,0.0,1.0,-3.9646,-45.3272,64.3
1153088,2023-09-26,RONDÔNIA,CEREJEIRAS,4.0,0.0,1.0,-13.2287,-61.7355,91.7
1502055,2023-08-21,MATO GROSSO,SÃO JOSÉ DO XINGU,69.0,0.0,1.0,-11.03903,-52.89743,5.9
1753169,2023-10-29,PARÁ,PORTEL,5.0,0.0,1.0,-2.83089,-51.75093,3.8
1125293,2023-09-25,MATO GROSSO,QUERÊNCIA,7.0,0.0,1.0,-11.82877,-52.35391,22.3
1438665,2023-08-19,MATO GROSSO,DIAMANTINO,4.0,0.0,1.0,-14.10827,-57.03185,78.0
1292880,2023-08-09,AMAZONAS,MAUÉS,5.0,2.72,1.0,-6.51022,-58.42705,1.5
104132,2023-06-20,MATO GROSSO,CANARANA,49.0,0.0,1.0,-13.3892,-52.0781,80.4
1810653,2023-11-01,AMAPÁ,LARANJAL DO JARI,9.0,0.0,1.0,-0.7809,-52.3818,79.4
1034573,2023-09-18,PARÁ,SENADOR JOSÉ PORFÍRIO,9.0,0.0,1.0,-3.92087,-52.21922,141.6
1899192,2023-10-26,PARÁ,NOVO REPARTIMENTO,8.0,0.0,1.0,-4.5439,-50.66225,2.8
2274542,2023-12-30,RORAIMA,PACARAIMA,4.0,0.0,1.0,3.8406,-60.6755,67.9
1241097,2023-08-01,MATO GROSSO,PORTO DOS GAÚCHOS,50.0,0.0,1.0,-11.9366,-56.6917,143.9
2127933,2023-11-18,PARÁ,PORTEL,10.0,0.0,1.0,-3.2466,-50.12307,17.9
435190,2023-10-11,AMAPÁ,FERREIRA GOMES,17.0,13.16,1.0,0.90382,-51.12742,4.8
569355,2023-10-21,PARÁ,SANTANA DO ARAGUAIA,6.0,0.0,1.0,-9.4048,-50.8752,90.2
1397739,2023-08-17,PARÁ,SÃO FÉLIX DO XINGU,7.0,0.0,1.0,-6.4366,-53.0619,198.8
554919,2023-10-20,PARÁ,SANTA MARIA DAS BARREIRAS,4.0,0.0,1.0,-8.77354,-50.72196,26.9
926485,2023-09-14,PARÁ,ALENQUER,1.0,0.0,1.0,-1.92303,-54.7515,79.6
2051113,2023-11-14,MARANHÃO,TURIAÇU,5.0,0.0,1.0,-1.75,-45.69,0
359740,2023-10-08,PARÁ,JACAREACANGA,2.0,0.0,1.0,-6.08788,-57.78978,19.9
1094526,2023-09-23,ACRE,XAPURI,9.0,0.1,1.0,-10.51143,-68.76744,19.6
1756575,2023-10-29,PARÁ,ALMEIRIM,7.0,0.0,1.0,-1.3575,-52.45931,2.3
1978086,2023-11-12,MATO GROSSO,PONTES E LACERDA,12.0,0.0,1.0,-15.66084,-59.48892,1.4
1362502,2023-08-16,PARÁ,ALTAMIRA,6.0,0.0,1.0,-7.67938,-54.85094,1.6
1386094,2023-08-17,PARÁ,ALTAMIRA,7.0,0.0,1.0,-7.9453,-54.7775,64.0
250054,2023-10-02,PARÁ,XINGUARA,2.0,0.0,1.0,-7.0764,-49.8775,182.9
258182,2023-10-03,MARANHÃO,MARACAÇUMÉ,12.0,0.0,1.0,-2.02743,-45.99077,4.0
839336,2023-09-10,MARANHÃO,GRAJAÚ,114.0,0.0,1.0,-5.48014,-46.16727,3.8
740050,2023-09-06,MATO GROSSO,CANARANA,5.0,0.1,1.0,-12.77,-52.5513,66.7
1262621,2023-08-06,MATO GROSSO,PARANATINGA,83.0,0.0,1.0,-13.3926,-54.3758,59.3
551244,2023-10-20,PARÁ,IPIXUNA DO PARÁ,9.0,0.0,1.0,-2.77364,-47.5815,50.5
1059820,2023-09-20,MATO GROSSO,NOVA LACERDA,2.0,0.1,1.0,-14.32282,-59.90295,6.0
1527922,2023-08-22,PARÁ,ALTAMIRA,7.0,0.0,1.0,-8.2804,-54.7562,80.8
236594,2023-10-02,PARÁ,BREU BRANCO,10.0,0.72,1.0,-3.77911,-49.49809,9.4
1147928,2023-09-26,MARANHÃO,IMPERATRIZ,8.0,0.0,1.0,-5.28853,-47.70067,1.0
951467,2023-09-15,PARÁ,MOJUÍ DOS CAMPOS,11.0,0.0,1.0,-2.83594,-54.34919,2.0
330309,2023-10-07,PARÁ,TOMÉ-AÇU,11.0,0.0,1.0,-2.6145,-48.3275,89.4
114702,2023-06-22,MATO GROSSO,CONFRESA,6.0,0.0,1.0,-10.1846,-51.7293,128.1
1792154,2023-10-31,MARANHÃO,ZÉ DOCA,12.0,2.13,1.0,-3.236,-45.9639,80.5
466594,2023-10-13,MARANHÃO,CIDELÂNDIA,4.0,5.36,1.0,-4.9718,-47.7537,77.2
1826128,2023-11-02,MARANHÃO,AÇAILÂNDIA,9.0,0.0,1.0,-4.93827,-47.53553,7.0
2111988,2023-11-17,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,6.0,0.0,1.0,-12.8411,-62.6874,58.6
236365,2023-10-02,PARÁ,GOIANÉSIA DO PARÁ,12.0,0.0,1.0,-3.67131,-48.90301,10.3
1469932,2023-08-20,PARÁ,SÃO FÉLIX DO XINGU,10.0,0.0,1.0,-6.54408,-52.9198,19.8
1544222,2023-08-23,MATO GROSSO,NOVA SANTA HELENA,10.0,0.0,1.0,-11.1472,-54.87218,1.1
1949813,2023-11-10,MARANHÃO,BOM JARDIM,4.0,0.0,1.0,-3.9513,-46.281399,0
2169152,2023-11-20,PARÁ,PARAGOMINAS,5.0,0.0,1.0,-2.638,-46.9795,46.3
854091,2023-09-11,PARÁ,PARAGOMINAS,46.0,0.0,1.0,-3.3038,-47.3292,50.3
2198042,2023-11-29,MARANHÃO,TURILÂNDIA,6.0,0.1,1.0,-2.3649,-45.5688,144.1
987771,2023-09-16,MARANHÃO,BACABEIRA,20.0,0.0,1.0,-3.08026,-44.36417,10.9
416630,2023-10-10,PARÁ,IPIXUNA DO PARÁ,19.0,0.0,1.0,-2.4128,-47.8146,93.3
2095404,2023-11-16,MARANHÃO,PEDRO DO ROSÁRIO,8.0,0.0,1.0,-3.0519,-45.6134,42.9
1260275,2023-08-05,MARANHÃO,SANTA INÊS,46.0,1.88,1.0,-3.8195,-45.4029,7.1
1388442,2023-08-17,PARÁ,TOMÉ-AÇU,8.0,0.0,1.0,-2.6709,-48.0887,72.6
362851,2023-10-08,RORAIMA,UIRAMUTÃ,14.0,0.0,1.0,4.42031,-59.79171,2.8
1211620,2023-09-29,MARANHÃO,PAULO RAMOS,17.0,0.0,1.0,-4.52,-45.18,0
1899896,2023-10-26,PARÁ,PACAJÁ,2.0,0.0,1.0,-3.23538,-51.18729,5.0
76823,2023-06-02,MATO GROSSO,BRASNORTE,12.0,0.0,1.0,-11.86126,-58.30941,8.8
571449,2023-10-21,MARANHÃO,PEDRO DO ROSÁRIO,25.0,0.0,1.0,-2.922,-45.5733,69.0
213348,2023-07-25,PARÁ,CUMARU DO NORTE,40.0,0.0,1.0,-7.69441,-51.11708,20.7
2144374,2023-11-19,RONDÔNIA,ALTA FLORESTA D'OESTE,6.0,0.67,1.0,-13.01786,-62.21862,3.1
939051,2023-09-15,PARÁ,DOM ELISEU,0.0,0.0,1.0,-4.2457,-48.051,44.8
58225,2023-05-22,MATO GROSSO,NOVA GUARITA,16.0,0.0,1.0,-10.1988,-55.4255,68.3
663128,2023-09-04,PARÁ,ÓBIDOS,13.0,0.0,1.0,1.66274,-55.67392,9.2
1404492,2023-08-18,PARÁ,ALTAMIRA,2.0,0.0,1.0,-5.805,-53.3597,69.4
831630,2023-09-10,PARÁ,DOM ELISEU,82.0,0.0,1.0,-4.0418,-48.0385,74.1
1117278,2023-09-24,MATO GROSSO,FELIZ NATAL,22.0,0.0,1.0,-12.0994,-54.2417,103.6
1814067,2023-11-01,PARÁ,RIO MARIA,8.0,0.0,1.0,-7.07925,-49.27986,11.0
2014324,2023-11-13,PARÁ,MAGALHÃES BARATA,6.0,0.0,1.0,-0.92247,-47.59973,14.0
2311721,2023-07-31,MATO GROSSO,CLÁUDIA,47.0,0.0,1.0,-11.61439,-55.07766,0.7
390368,2023-10-09,MARANHÃO,ARAME,17.0,0.0,1.0,-4.8922,-45.8609,195.9
501547,2023-10-15,PARÁ,PORTEL,8.0,1.01,1.0,-3.0504,-50.3542,96.8
1877607,2023-11-05,PARÁ,ORIXIMINÁ,14.0,0.0,1.0,1.7298,-55.9415,75.8
1916955,2023-10-31,PARÁ,GOIANÉSIA DO PARÁ,7.0,0.0,1.0,-4.06574,-48.82366,9.5
2299689,2023-11-23,AMAPÁ,AMAPÁ,35.0,0.0,1.0,1.31367,-50.46784,4.3
278494,2023-10-04,TOCANTINS,ARAGOMINAS,6.0,0.0,1.0,-6.8448,-48.6954,102.5
1806349,2023-11-01,PARÁ,IPIXUNA DO PARÁ,8.0,0.12,1.0,-2.4313,-47.8141,102.4
2211088,2023-12-03,MARANHÃO,SANTA LUZIA,6.0,0.8,1.0,-4.5049,-46.09968,13.8
1868050,2023-11-04,AMAPÁ,AMAPÁ,16.0,0.2,1.0,1.74364,-50.58617,7.4
1566634,2023-08-23,PARÁ,SÃO FÉLIX DO XINGU,14.0,5.86,1.0,-6.2823,-53.20064,14.1
25912,2023-03-19,RORAIMA,UIRAMUTÃ,10.0,0.0,1.0,4.46052,-60.10168,3.7
1869369,2023-11-04,AMAPÁ,VITÓRIA DO JARI,11.0,0.1,1.0,-0.89777,-51.79491,11.1
